epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9187,0.77074,1.91747,3.00881,1.10873,0,0.01886,0.85196,0.55474,0.46145,0.01648,0.75562,0.52426,0.4112,0.62405,1.94325,3.14446,1.03555,0,0.000409357,0.000409357,0.000409357
2,26.2767,0.80176,1.6376,2.06979,1.11324,0,0.84731,0.60897,0.65464,0.53831,0.81845,0.55445,0.58937,0.41288,0.86407,2.62601,1.76018,1.36801,0,0.000817846,0.000817846,0.000817846
3,31.708,0.80524,1.59511,1.51604,1.11304,0,0.6406,0.53442,0.54323,0.40991,0.62872,0.50448,0.49819,0.35395,0.92493,2.55967,2.09141,1.37308,0,0.00121808,0.00121808,0.00121808
4,37.0748,0.77689,1.62719,1.34975,1.09951,0,0.5729,0.71452,0.68237,0.53173,0.54489,0.66492,0.60282,0.45329,0.79075,2.12955,1.92703,1.25751,0,0.00121287,0.00121287,0.00121287
5,42.6388,0.79181,1.71327,1.23463,1.09991,0,0.88033,0.51223,0.6728,0.56326,0.86246,0.49258,0.60281,0.50226,0.66349,1.84799,1.9883,1.05108,0,0.0012005,0.0012005,0.0012005
6,48.0211,0.73097,1.53793,1.13912,1.06069,0,0.85413,0.64215,0.723,0.61177,0.8341,0.62836,0.68679,0.55856,0.73934,1.7474,1.34762,1.14571,0,0.00118812,0.00118812,0.00118812
7,53.4396,0.75319,1.59689,1.15912,1.07928,0,0.8541,0.73478,0.79786,0.65621,0.82256,0.69728,0.71626,0.57423,0.63098,1.59875,1.15315,1.03676,0,0.00117575,0.00117575,0.00117575
8,58.8326,0.71008,1.50742,1.11216,1.06466,0,0.76007,0.602,0.71612,0.57933,0.73211,0.56388,0.65556,0.52239,0.66222,1.74923,1.43189,1.03845,0,0.00116337,0.00116337,0.00116337
9,64.1244,0.67392,1.45404,1.04535,1.04925,0,0.83553,0.74199,0.79539,0.61722,0.81476,0.70886,0.73856,0.58217,0.71486,1.57293,1.24658,1.07083,0,0.001151,0.001151,0.001151
10,69.5112,0.71646,1.54126,1.02703,1.06064,0,0.81867,0.7125,0.78935,0.61807,0.79458,0.67929,0.70789,0.5711,0.66261,1.5073,1.28656,1.06936,0,0.00113863,0.00113863,0.00113863
11,74.8786,0.66143,1.4302,1.03561,1.0375,0,0.78109,0.73695,0.76822,0.63421,0.73658,0.67787,0.68249,0.56273,0.70592,1.61147,1.2889,1.10686,0,0.00112625,0.00112625,0.00112625
12,80.365,0.64479,1.38401,0.95875,1.02478,0,0.85521,0.74331,0.80305,0.6471,0.88906,0.64111,0.73538,0.60095,0.67569,1.33133,1.04024,1.08989,0,0.00111388,0.00111388,0.00111388
13,85.7566,0.6619,1.45092,0.93875,1.03602,0,0.71237,0.72423,0.7626,0.6349,0.71302,0.70922,0.72968,0.58794,0.59163,1.3575,1.06838,1.0169,0,0.0011015,0.0011015,0.0011015
14,91.0938,0.64336,1.3986,0.9064,1.03451,0,0.79,0.76266,0.81747,0.67856,0.75218,0.69807,0.74565,0.60923,0.57367,1.39238,0.94194,0.98068,0,0.00108913,0.00108913,0.00108913
15,96.4868,0.63103,1.37849,0.8935,1.025,0,0.8604,0.76092,0.81969,0.68802,0.89175,0.69343,0.76666,0.62163,0.58923,1.41787,0.91781,0.99302,0,0.00107675,0.00107675,0.00107675
16,101.837,0.65815,1.43282,0.93502,1.04728,0,0.85145,0.62464,0.73052,0.61938,0.79471,0.59563,0.66822,0.55194,0.6432,1.4563,1.11343,1.04563,0,0.00106437,0.00106437,0.00106437
