epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2333,0.40424,0.78273,0.43139,0.90492,0,0.92928,0.82677,0.89054,0.80224,0.89744,0.79363,0.84162,0.72447,0.43482,1.37102,0.52512,0.92489,0,0.000410628,0.000410628,0.000410628
2,26.9161,0.4476,0.88703,0.46972,0.92718,0,0.85237,0.84167,0.89012,0.78655,0.8413,0.79187,0.82853,0.68667,0.47619,1.37399,0.60939,0.92948,0,0.000810914,0.000810914,0.000810914
3,33.5592,0.47308,0.92956,0.50902,0.94099,0,0.81535,0.80123,0.83697,0.73731,0.80044,0.7274,0.77532,0.64096,0.52006,1.62749,0.76992,0.98134,0,0.0011947,0.0011947,0.0011947
4,40.0135,0.51529,1.06698,0.53923,0.95394,0,0.83966,0.80328,0.85724,0.74369,0.83404,0.784,0.81543,0.67328,0.51404,1.38455,0.6985,0.96199,0,0.00117575,0.00117575,0.00117575
5,46.3774,0.506,1.08409,0.53672,0.94657,0,0.90567,0.77326,0.87071,0.7541,0.89089,0.71772,0.79739,0.65976,0.52245,1.59305,0.67713,1.002,0,0.001151,0.001151,0.001151
6,52.532,0.53254,1.18649,0.58213,0.97665,0,0.83005,0.77452,0.84577,0.73551,0.77048,0.7298,0.77531,0.65316,0.53201,1.57781,0.80642,0.98426,0,0.00112625,0.00112625,0.00112625
7,58.7439,0.53041,1.1047,0.58409,0.97366,0,0.89002,0.79012,0.87192,0.76623,0.85055,0.75106,0.81338,0.67807,0.50491,1.32843,0.62564,0.96238,0,0.0011015,0.0011015,0.0011015
8,64.9692,0.52594,1.09816,0.57866,0.96773,0,0.90851,0.80077,0.89014,0.78528,0.8812,0.78217,0.83,0.6968,0.50237,1.25369,0.62297,0.95453,0,0.00107675,0.00107675,0.00107675
9,71.2382,0.52323,1.0527,0.56131,0.95794,0,0.90875,0.84943,0.90841,0.78414,0.85828,0.79281,0.82053,0.69835,0.49923,1.32526,0.6513,0.99536,0,0.001052,0.001052,0.001052
10,77.434,0.50778,1.03191,0.55752,0.95823,0,0.88455,0.81276,0.86893,0.75174,0.86014,0.73412,0.78245,0.65508,0.52852,1.49155,0.65215,0.97735,0,0.00102725,0.00102725,0.00102725
11,83.6663,0.52271,1.00915,0.54476,0.95466,0,0.88367,0.79398,0.85756,0.75866,0.86041,0.76833,0.80643,0.68044,0.4954,1.3309,0.59769,0.96744,0,0.0010025,0.0010025,0.0010025
12,90.0299,0.50915,1.02908,0.5525,0.96318,0,0.84094,0.82411,0.85121,0.75526,0.89428,0.75725,0.81013,0.67835,0.47565,1.19601,0.59142,0.95087,0,0.00097775,0.00097775,0.00097775
13,96.281,0.49414,0.96598,0.51052,0.9489,0,0.87427,0.88476,0.91,0.7808,0.86244,0.8549,0.86226,0.69157,0.52687,1.30975,0.60783,0.984,0,0.000953,0.000953,0.000953
14,102.534,0.50445,1.0326,0.52459,0.95191,0,0.85765,0.83832,0.86456,0.7627,0.81922,0.79846,0.81007,0.68717,0.48969,1.27055,0.69634,0.94603,0,0.00092825,0.00092825,0.00092825
15,108.744,0.50367,1.03951,0.51581,0.95516,0,0.8653,0.8386,0.87856,0.7711,0.82886,0.79332,0.82926,0.71085,0.52121,1.33804,0.6398,0.982,0,0.0009035,0.0009035,0.0009035
16,115.008,0.49556,1.01306,0.51151,0.94699,0,0.91136,0.83209,0.90025,0.79734,0.89105,0.80832,0.84647,0.71993,0.48487,1.26694,0.5725,0.95182,0,0.00087875,0.00087875,0.00087875
