epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.623,0.48821,1.02858,0.61294,0.93211,0,0.86704,0.82586,0.86973,0.78078,0.85774,0.78354,0.82991,0.69639,0.50042,1.41054,0.70607,0.92331,0,0.000411585,0.000411585,0.000411585
2,29.9758,0.47808,0.91786,0.55505,0.93515,0,0.90643,0.83343,0.91458,0.80378,0.85,0.77613,0.83085,0.68612,0.52277,1.46594,0.62205,0.9402,0,0.000811853,0.000811853,0.000811853
3,37.3237,0.53506,1.03078,0.58799,0.95228,0,0.88131,0.84436,0.89228,0.78042,0.85863,0.80651,0.84354,0.71724,0.50996,1.2681,0.72836,0.92976,0,0.00119562,0.00119562,0.00119562
4,44.6215,0.53254,1.05121,0.58774,0.9479,0,0.88152,0.77356,0.8727,0.75642,0.86371,0.75958,0.81959,0.66448,0.56321,1.54177,0.73252,0.99269,0,0.00117575,0.00117575,0.00117575
5,52.0572,0.5591,1.08392,0.6111,0.96414,0,0.8141,0.77491,0.83566,0.728,0.79835,0.74903,0.79981,0.65614,0.54744,1.4912,0.8555,0.96873,0,0.001151,0.001151,0.001151
6,59.349,0.54054,1.10735,0.61432,0.95729,0,0.86042,0.83295,0.86231,0.76672,0.82194,0.7794,0.80038,0.67906,0.52373,1.37872,0.72634,0.94579,0,0.00112625,0.00112625,0.00112625
7,66.6488,0.54087,1.12036,0.59511,0.96027,0,0.88964,0.82772,0.89103,0.77631,0.89152,0.78256,0.84743,0.68481,0.5288,1.38534,0.69142,0.94477,0,0.0011015,0.0011015,0.0011015
8,73.8919,0.51998,1.00431,0.55734,0.95322,0,0.91774,0.82638,0.90381,0.79554,0.89135,0.79817,0.8539,0.71169,0.51498,1.34482,0.6141,0.94319,0,0.00107675,0.00107675,0.00107675
9,81.226,0.54601,1.03585,0.57186,0.95391,0,0.91429,0.81953,0.88478,0.77747,0.88292,0.79422,0.85664,0.69299,0.54874,1.43306,0.67457,0.97665,0,0.001052,0.001052,0.001052
10,88.4762,0.52491,1.05762,0.56329,0.95021,0,0.86425,0.85947,0.88467,0.79241,0.84121,0.8037,0.81836,0.6921,0.50573,1.53725,0.72906,0.9409,0,0.00102725,0.00102725,0.00102725
11,95.8695,0.51403,1.02499,0.56027,0.94449,0,0.91544,0.81835,0.89377,0.79166,0.89622,0.77439,0.83146,0.68017,0.49653,1.45342,0.60617,0.95281,0,0.0010025,0.0010025,0.0010025
12,103.15,0.508,1.02279,0.53138,0.94477,0,0.90218,0.87268,0.90903,0.82219,0.9147,0.79933,0.84809,0.72021,0.47003,1.26845,0.60275,0.92301,0,0.00097775,0.00097775,0.00097775
13,110.435,0.49568,0.95479,0.51667,0.94243,0,0.92897,0.83354,0.89801,0.80391,0.92366,0.8028,0.86365,0.7159,0.50448,1.56985,0.58827,0.95698,0,0.000953,0.000953,0.000953
14,117.735,0.52021,0.99776,0.53388,0.94864,0,0.84532,0.86815,0.90199,0.78731,0.89584,0.79388,0.85878,0.70537,0.5061,1.21167,0.64061,0.94944,0,0.00092825,0.00092825,0.00092825
15,125.04,0.49813,0.98494,0.53844,0.9427,0,0.89877,0.84177,0.90024,0.80596,0.87885,0.78549,0.84734,0.72781,0.50702,1.27459,0.62805,0.95046,0,0.0009035,0.0009035,0.0009035
16,132.335,0.47776,0.91907,0.49851,0.93092,0,0.90596,0.88333,0.91289,0.82117,0.86919,0.84806,0.86463,0.74188,0.46986,1.19006,0.58695,0.90778,0,0.00087875,0.00087875,0.00087875
17,139.801,0.50389,1.00965,0.52442,0.94489,0,0.91229,0.84669,0.89191,0.79355,0.90926,0.80226,0.85358,0.71348,0.50072,1.36329,0.58405,0.94082,0,0.000854,0.000854,0.000854
18,147.189,0.50386,0.98661,0.53449,0.94533,0,0.90428,0.86292,0.90475,0.80009,0.87868,0.82874,0.86271,0.72675,0.49686,1.31388,0.61468,0.93796,0,0.00082925,0.00082925,0.00082925
19,154.504,0.47961,0.89888,0.50022,0.93291,0,0.86487,0.8714,0.89825,0.7971,0.85283,0.80293,0.83323,0.70983,0.49305,1.33665,0.65438,0.93801,0,0.0008045,0.0008045,0.0008045
20,161.816,0.47763,0.9344,0.50071,0.93787,0,0.90274,0.87042,0.91822,0.80709,0.86932,0.7919,0.84595,0.72091,0.50297,1.14159,0.58256,0.94306,0,0.00077975,0.00077975,0.00077975
21,169.223,0.50267,0.96599,0.50533,0.93686,0,0.86204,0.85727,0.89943,0.81192,0.83878,0.82243,0.86081,0.71994,0.46011,1.22543,0.62435,0.91397,0,0.000755,0.000755,0.000755
22,176.451,0.47603,0.9314,0.48218,0.93561,0,0.88372,0.87492,0.90742,0.81226,0.86572,0.79898,0.8475,0.72002,0.4688,1.26172,0.54149,0.91842,0,0.00073025,0.00073025,0.00073025
23,183.82,0.47402,0.91289,0.46855,0.92555,0,0.93239,0.86557,0.93256,0.8314,0.88795,0.80912,0.85868,0.73903,0.4431,1.24233,0.52533,0.9117,0,0.0007055,0.0007055,0.0007055
24,191.09,0.4555,0.88268,0.46874,0.93088,0,0.95421,0.84682,0.90549,0.81836,0.93866,0.83259,0.87578,0.73474,0.46431,1.2552,0.53259,0.9275,0,0.00068075,0.00068075,0.00068075
25,198.36,0.4738,0.91395,0.48639,0.93437,0,0.92157,0.87261,0.90563,0.8229,0.88547,0.83705,0.85998,0.73741,0.46018,1.27368,0.53246,0.9407,0,0.000656,0.000656,0.000656
26,205.709,0.45201,0.87756,0.4501,0.91858,0,0.88857,0.86578,0.89287,0.80631,0.89809,0.79378,0.84529,0.72243,0.46412,1.27736,0.59853,0.9363,0,0.00063125,0.00063125,0.00063125
27,213.04,0.4495,0.83997,0.44384,0.92091,0,0.91799,0.85468,0.90684,0.82314,0.90368,0.84364,0.87009,0.74335,0.45622,1.14823,0.54378,0.9207,0,0.0006065,0.0006065,0.0006065
28,220.311,0.44046,0.84496,0.43871,0.91104,0,0.92642,0.88348,0.91829,0.84198,0.90743,0.84805,0.88287,0.75251,0.44017,1.16186,0.55725,0.92122,0,0.00058175,0.00058175,0.00058175
29,227.576,0.44901,0.87883,0.44257,0.92077,0,0.93842,0.86904,0.92516,0.83905,0.93093,0.81839,0.87648,0.74237,0.43446,1.24243,0.49965,0.90881,0,0.000557,0.000557,0.000557
30,234.944,0.43889,0.85558,0.43592,0.92043,0,0.94691,0.84964,0.90766,0.82809,0.92286,0.80494,0.86497,0.74522,0.44688,1.33914,0.52752,0.92648,0,0.00053225,0.00053225,0.00053225
31,242.194,0.44416,0.80144,0.42399,0.91743,0,0.92937,0.88369,0.91852,0.83619,0.90848,0.82151,0.8657,0.75597,0.43846,1.09837,0.50829,0.92058,0,0.0005075,0.0005075,0.0005075
32,249.461,0.43511,0.84797,0.42871,0.91242,0,0.93648,0.87764,0.92272,0.84488,0.91497,0.83504,0.87223,0.76251,0.43492,1.14018,0.47341,0.91212,0,0.00048275,0.00048275,0.00048275
33,256.764,0.43828,0.86134,0.41682,0.92252,0,0.93727,0.87154,0.92038,0.83706,0.93858,0.83299,0.89461,0.75486,0.43086,1.17723,0.47912,0.90787,0,0.000458,0.000458,0.000458
34,264.049,0.43644,0.8442,0.4123,0.91187,0,0.94775,0.86974,0.91376,0.839,0.91816,0.83535,0.87103,0.7512,0.43418,1.16652,0.50635,0.9041,0,0.00043325,0.00043325,0.00043325
35,271.332,0.41392,0.82487,0.40938,0.90739,0,0.92134,0.86211,0.91478,0.83614,0.90866,0.83132,0.86414,0.74968,0.40926,1.21248,0.50122,0.88149,0,0.0004085,0.0004085,0.0004085
36,278.577,0.42716,0.82257,0.40236,0.91085,0,0.92167,0.90056,0.93396,0.84446,0.9195,0.83227,0.87984,0.765,0.43151,1.06903,0.48514,0.9139,0,0.00038375,0.00038375,0.00038375
37,286.055,0.40689,0.76137,0.38252,0.89461,0,0.93364,0.88124,0.91315,0.83581,0.93737,0.81728,0.87501,0.75213,0.41206,1.13014,0.49078,0.89629,0,0.000359,0.000359,0.000359
38,293.33,0.40969,0.76596,0.39435,0.90387,0,0.93932,0.89273,0.93632,0.85618,0.94942,0.81494,0.88857,0.7692,0.40861,1.04749,0.45521,0.89093,0,0.00033425,0.00033425,0.00033425
39,300.572,0.40466,0.78893,0.38178,0.90432,0,0.90846,0.86851,0.91079,0.83772,0.89454,0.84147,0.87767,0.75682,0.4102,1.2044,0.48974,0.89695,0,0.0003095,0.0003095,0.0003095
40,307.856,0.41617,0.75884,0.39727,0.9049,0,0.92012,0.87791,0.91998,0.84573,0.89993,0.85267,0.88976,0.77114,0.38889,1.05601,0.47318,0.88696,0,0.00028475,0.00028475,0.00028475
41,315.484,0.37434,0.67659,0.36105,0.88186,0,0.95444,0.86332,0.91725,0.84095,0.94588,0.8366,0.87735,0.76403,0.40226,1.15328,0.47923,0.89864,0,0.00026,0.00026,0.00026
42,322.254,0.36546,0.65903,0.34988,0.86984,0,0.95606,0.88087,0.94061,0.85904,0.92758,0.85355,0.89017,0.77787,0.40342,1.02952,0.45322,0.8938,0,0.00023525,0.00023525,0.00023525
43,329.197,0.35363,0.63585,0.32709,0.86505,0,0.94455,0.87821,0.93278,0.8555,0.92048,0.85664,0.89475,0.77076,0.40929,1.05642,0.45104,0.9021,0,0.0002105,0.0002105,0.0002105
44,336.005,0.35583,0.62285,0.3376,0.86654,0,0.94246,0.873,0.93475,0.85383,0.93061,0.82392,0.88513,0.76786,0.39875,1.0882,0.42117,0.89561,0,0.00018575,0.00018575,0.00018575
45,342.763,0.34895,0.59149,0.321,0.87029,0,0.94576,0.86217,0.92606,0.85299,0.91459,0.83572,0.88223,0.7747,0.40683,1.1018,0.44991,0.90428,0,0.000161,0.000161,0.000161
46,349.53,0.33809,0.58345,0.30798,0.86087,0,0.93926,0.87,0.92927,0.85476,0.93525,0.82516,0.88042,0.77642,0.39783,1.09248,0.44658,0.89681,0,0.00013625,0.00013625,0.00013625
47,356.303,0.33749,0.58645,0.30867,0.85895,0,0.94084,0.87934,0.92666,0.85793,0.9387,0.82601,0.88572,0.77565,0.39216,1.10641,0.44217,0.90304,0,0.0001115,0.0001115,0.0001115
48,363.066,0.336,0.58551,0.3096,0.85559,0,0.95911,0.85585,0.92732,0.85708,0.93907,0.83956,0.89247,0.78021,0.39175,1.09497,0.44697,0.8995,0,8.675e-05,8.675e-05,8.675e-05
49,369.96,0.32915,0.55241,0.29778,0.85354,0,0.94523,0.86346,0.92658,0.85802,0.93051,0.84429,0.8949,0.78249,0.38647,1.07179,0.44487,0.89884,0,6.2e-05,6.2e-05,6.2e-05
50,376.753,0.32562,0.58201,0.30274,0.85567,0,0.94381,0.87643,0.93115,0.8603,0.9219,0.85728,0.89593,0.7811,0.38615,1.07554,0.43966,0.89988,0,3.725e-05,3.725e-05,3.725e-05
